city,year,month,predicted_uhi
Kolkata,2030,1,0.2401
Kolkata,2030,2,0.7685
Kolkata,2030,3,0.4229
Kolkata,2030,4,1.2046
Kolkata,2030,5,0.531
Kolkata,2030,6,0.3623
Kolkata,2030,7,0.1498
Kolkata,2030,8,0.0957
Kolkata,2030,9,0.664
Kolkata,2030,10,0.608
Kolkata,2030,11,0.4713
Kolkata,2030,12,0.4041
Kochi,2025,1,1.0341
Kochi,2025,2,0.9322
Kochi,2025,3,0.7171
Kochi,2025,4,0.8401
Kochi,2025,5,0.714
Kochi,2025,6,1.2133
Kochi,2025,7,0.8577
Kochi,2025,8,1.0848
Kochi,2025,9,0.9425
Kochi,2025,10,0.996
Kochi,2025,11,0.5714
Kochi,2025,12,0.7191
Kochi,2026,1,1.0341
Kochi,2026,2,0.9322
Kochi,2026,3,0.7171
Kochi,2026,4,0.8401
Kochi,2026,5,0.714
Kochi,2026,6,1.2133
Kochi,2026,7,0.8577
Kochi,2026,8,1.0848
Kochi,2026,9,0.9425
Kochi,2026,10,0.996
Kochi,2026,11,0.5714
Kochi,2026,12,0.7191
Kochi,2027,1,1.0341
Kochi,2027,2,0.9322
Kochi,2027,3,0.7171
Kochi,2027,4,0.8401
Kochi,2027,5,0.714
Kochi,2027,6,1.2133
Kochi,2027,7,0.8577
Kochi,2027,8,1.0848
Kochi,2027,9,0.9425
Kochi,2027,10,0.996
Kochi,2027,11,0.5714
Kochi,2027,12,0.7191
Kochi,2028,1,1.0341
Kochi,2028,2,0.9322
Kochi,2028,3,0.7171
Kochi,2028,4,0.8401
Kochi,2028,5,0.714
Kochi,2028,6,1.2133
Kochi,2028,7,0.8577
Kochi,2028,8,1.0848
Kochi,2028,9,0.9425
Kochi,2028,10,0.996
Kochi,2028,11,0.5714
Kochi,2028,12,0.7191
Kochi,2029,1,1.0341
Kochi,2029,2,0.9322
Kochi,2029,3,0.7171
Kochi,2029,4,0.8401
Kochi,2029,5,0.714
Kochi,2029,6,1.2133
Kochi,2029,7,0.8577
Kochi,2029,8,1.0848
Kochi,2029,9,0.9425
Kochi,2029,10,0.996
Kochi,2029,11,0.5714
Kochi,2029,12,0.7191
Kochi,2030,1,1.0341
Kochi,2030,2,0.9322
Kochi,2030,3,0.7171
Kochi,2030,4,0.8401
Kochi,2030,5,0.714
Kochi,2030,6,1.2133
Kochi,2030,7,0.8577
Kochi,2030,8,1.0848
Kochi,2030,9,0.9425
Kochi,2030,10,0.996
Kochi,2030,11,0.5714
Kochi,2030,12,0.7191
