city,date,year,month,day_of_year,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,UHI_Index
Bangalore,2021-08-21,2021,8,233,30.603176265270534,32.96635398547895,,-2.3631777202084194
Bangalore,2021-09-06,2021,9,249,31.204986925663075,30.4245850606769,18.437844474761285,0.7804018649861746
Bangalore,2021-09-14,2021,9,257,32.60559821889522,32.80739932293943,,-0.2018011040442147
Bangalore,2021-09-22,2021,9,265,30.420000000000044,28.595244847797353,20.720000000000027,1.824755152202691
Bangalore,2021-09-30,2021,9,273,30.998000000000037,29.36349155234023,,1.6345084476598082
Bangalore,2021-10-16,2021,10,289,27.10714285714289,27.92634665347027,,-0.819203796327379
Bangalore,2021-10-24,2021,10,297,27.406474930790555,26.955950455653987,18.284934333958756,0.450524475136568
Bangalore,2021-11-17,2021,11,321,28.187166330569877,27.472769702567607,18.829068172465846,0.7143966280022696
Bangalore,2021-12-03,2021,12,337,27.512870172335816,27.320380497591067,19.097310595154873,0.1924896747447491
Bangalore,2021-12-11,2021,12,345,26.49270091830605,26.643998787431407,17.88145944321222,-0.15129786912535792
Bangalore,2021-12-19,2021,12,353,27.354364441786345,27.805552551966073,17.503359418953007,-0.4511881101797286
Bangalore,2021-12-27,2021,12,361,27.427919421678872,27.92678850674797,18.26734356843916,-0.4988690850690993
Bangalore,2022-01-01,2022,1,1,26.817398337932826,27.48054168400681,18.504316418782537,-0.6631433460739835
Bangalore,2022-01-09,2022,1,9,27.427110190130374,28.32952109038345,19.05055988036747,-0.9024109002530771
Bangalore,2022-01-17,2022,1,17,29.609646831619784,30.334956195192923,17.948946444869158,-0.7253093635731389
Bangalore,2022-01-25,2022,1,25,28.330817094212826,29.133844805454697,18.788935291568226,-0.8030277112418709
Bangalore,2022-02-02,2022,2,33,30.258251432302675,31.01114348767334,19.698180238436304,-0.7528920553706655
Bangalore,2022-02-10,2022,2,41,29.87840231951533,31.187720184251063,19.98640631007935,-1.309317864735732
Bangalore,2022-02-18,2022,2,49,32.72168251976927,33.81388765096944,20.872710109309335,-1.0922051312001742
Bangalore,2022-02-26,2022,2,57,33.76634633017968,35.05672543094764,20.997116971616762,-1.2903791007679573
Bangalore,2022-03-06,2022,3,65,35.02647125448548,36.29896039113012,21.482964234782965,-1.2724891366446442
Bangalore,2022-03-14,2022,3,73,32.76469861964022,34.33450767080359,21.72334988182223,-1.569809051163368
Bangalore,2022-03-22,2022,3,81,33.01954130167558,33.997635768516055,23.908093555853366,-0.9780944668404743
Bangalore,2022-03-30,2022,3,89,33.46118737173779,34.46652617333233,23.605334673825208,-1.0053388015945401
Bangalore,2022-04-07,2022,4,97,36.72693584254378,38.280754669006896,22.58348246982425,-1.5538188264631145
Bangalore,2022-04-15,2022,4,105,32.94229738449077,33.337233667229604,23.685339420650074,-0.39493628273883274
Bangalore,2022-04-23,2022,4,113,35.91316637324845,36.84306336486158,24.77858039830262,-0.929896991613127
Bangalore,2022-05-01,2022,5,121,30.474230416819868,30.991982381378282,19.83228650539204,-0.5177519645584141
Bangalore,2022-05-09,2022,5,129,27.62500000000003,30.22355992415933,19.62500000000003,-2.5985599241593
Bangalore,2022-05-17,2022,5,137,27.25716509107681,28.454193574962076,20.976102144339436,-1.1970284838852656
Bangalore,2022-05-25,2022,5,145,29.8891063654278,29.89684411933257,21.847754914990173,-0.007737753904770273
Bangalore,2022-06-02,2022,6,153,28.700092679524026,28.863003515615585,21.252147416564878,-0.16291083609155876
Bangalore,2022-06-10,2022,6,161,31.210665878823725,31.869915320729444,21.697292813096297,-0.6592494419057182
Bangalore,2022-07-28,2022,7,209,29.55000000000004,28.395240847784237,,1.154759152215803
Bangalore,2022-08-13,2022,8,225,28.964998468025534,29.504974873960396,19.096267860319003,-0.539976405934862
Bangalore,2022-08-29,2022,8,241,30.35460264237565,29.659363336992268,20.552145222825335,0.6952393053833816
Bangalore,2022-09-14,2022,9,257,29.373922665643995,29.54258481295482,21.456900083470604,-0.16866214731082607
Bangalore,2022-09-22,2022,9,265,30.99534741214454,30.90796832163527,20.652035915188264,0.08737909050926973
Bangalore,2022-10-24,2022,10,297,28.438203560809317,27.708021449866965,18.300002646477385,0.7301821109423514
